Random,AllCityCenter,Uniform,UniformRandom,PopulationProportionate,SLS,GA,MA
925.305900621118,1325.9844720496894,913.802795031056,914.0310559006213,897.6296583850932,900.4503105590062,869.5760869565217,889.6824534161491
934.6350931677018,1325.9844720496894,913.802795031056,886.5489130434783,897.6296583850932,903.0217391304348,866.2989130434783,885.7468944099379
963.55900621118,1325.9844720496894,913.802795031056,891.9114906832298,897.6296583850932,898.5504658385094,865.8447204968944,883.8400621118012
1016.4635093167702,1325.9844720496894,913.802795031056,907.3509316770186,897.6296583850932,905.7888198757764,866.3664596273292,880.6405279503106
959.3765527950312,1325.9844720496894,913.802795031056,886.6933229813665,897.6296583850932,898.2476708074535,869.3245341614906,878.8291925465838
976.930900621118,1325.9844720496894,913.802795031056,895.6040372670808,897.6296583850932,897.9549689440994,867.210403726708,884.6863354037267
943.0745341614906,1325.9844720496894,913.802795031056,901.4681677018632,897.6296583850932,897.8152173913044,863.5807453416149,880.8610248447205
959.664596273292,1325.9844720496894,913.802795031056,905.2756211180124,897.6296583850932,896.9324534161491,868.1537267080745,885.3377329192547
929.2756211180124,1325.9844720496894,913.802795031056,895.5403726708074,897.6296583850932,897.7593167701864,867.0240683229814,881.7041925465838
937.9052795031056,1325.9844720496894,913.802795031056,911.789596273292,897.6296583850932,900.9945652173913,868.583850931677,881.041149068323
961.7329192546584,1325.9844720496894,913.802795031056,905.6350931677018,897.6296583850932,900.6110248447205,867.194099378882,882.5729813664597
911.0605590062112,1325.9844720496894,913.802795031056,900.4953416149068,897.6296583850932,901.0364906832298,868.8975155279503,875.0908385093168
960.0403726708074,1325.9844720496894,913.802795031056,900.2158385093168,897.6296583850932,908.6591614906832,866.5807453416149,885.3563664596273
946.9363354037268,1325.9844720496894,913.802795031056,902.1521739130436,897.6296583850932,905.569099378882,864.2732919254659,882.860248447205
1003.3625776397516,1325.9844720496894,913.802795031056,906.2274844720496,897.6296583850932,885.8540372670808,867.0225155279503,885.3423913043479
